2022/12/03/04:08:42:113 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 4
2022/12/03/04:08:42:114 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:08:42:116 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:08:42:117 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;242,008; s
2022/12/03/04:08:42:119 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:08:42:120 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/04:08:42:122 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 8
2022/12/03/04:08:42:123 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:08:42:125 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:08:42:126 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
2022/12/03/04:08:42:128 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 5
2022/12/03/04:08:42:129 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:08:42:130 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:08:42:132 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;592,648; s
2022/12/03/04:08:42:133 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:08:42:135 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/04:08:42:136 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 18
2022/12/03/04:08:42:139 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:08:42:140 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:08:42:142 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
